StartTime: 2018-09-14 11:07:50.512
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Lon(deg)	Lat(deg) 
28.413	-0.0278	0.0186	1.0186	0.0000	0.0000	0.0000	1.0602	1.5546	159.8785	36.8700	37	-101	31	0.00000000	0.00000000 
28.502	-0.0278	0.0181	1.0190	0.0000	0.0000	0.0000	1.0547	1.5546	159.8730	36.8600	35	-100	30	0.00000000	0.00000000 
28.604	-0.0278	0.0186	1.0186	0.0000	0.0000	0.0000	1.0547	1.5546	159.8785	36.8800	36	-101	31	0.00000000	0.00000000 
28.701	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0547	1.5546	159.8730	36.8600	36	-101	30	0.00000000	0.00000000 
28.826	-0.0278	0.0190	1.0190	0.0000	0.0000	0.0000	1.0547	1.5546	159.8676	36.9200	36	-100	30	0.00000000	0.00000000 
28.900	-0.0278	0.0195	1.0190	0.0000	0.0000	0.0000	1.0547	1.5546	159.8730	36.9300	36	-101	31	0.00000000	0.00000000 
29.012	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0602	1.5546	159.8785	36.8800	36	-101	32	0.00000000	0.00000000 
29.100	-0.0278	0.0186	1.0190	0.0000	0.0000	0.0000	1.0602	1.5546	159.8950	36.9700	36	-101	30	0.00000000	0.00000000 
29.213	-0.0278	0.0186	1.0190	0.0000	0.0000	0.0000	1.0602	1.5546	159.9060	36.8700	36	-100	30	0.00000000	0.00000000 
29.300	-0.0278	0.0186	1.0195	0.0000	0.0000	0.0000	1.0547	1.5546	159.8950	36.9400	36	-100	31	0.00000000	0.00000000 
29.424	-0.0278	0.0186	1.0190	0.0000	0.0000	0.0000	1.0547	1.5546	159.8840	36.9800	36	-99	31	0.00000000	0.00000000 
29.499	-0.0273	0.0181	1.0190	0.0000	0.0000	0.0000	1.0547	1.5546	159.8730	36.9000	37	-101	31	0.00000000	0.00000000 
29.618	-0.0273	0.0186	1.0186	0.0000	0.0000	0.0000	1.0547	1.5546	159.8730	36.9300	37	-100	31	0.00000000	0.00000000 
29.699	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0492	1.5546	159.8785	36.9700	37	-101	30	0.00000000	0.00000000 
29.799	-0.0278	0.0190	1.0181	0.0000	0.0000	0.0000	1.0547	1.5546	159.8785	37.0000	37	-102	30	0.00000000	0.00000000 
29.898	-0.0278	0.0190	1.0181	0.0000	0.0000	0.0000	1.0547	1.5546	159.8511	36.9100	37	-99	30	0.00000000	0.00000000 
30.009	-0.0278	0.0186	1.0181	0.0000	0.0000	0.0000	1.0547	1.5546	159.8291	37.0400	36	-100	31	0.00000000	0.00000000 
30.098	-0.0273	0.0181	1.0186	0.0000	0.0000	0.0000	1.0547	1.5546	159.8236	37.0000	37	-101	30	0.00000000	0.00000000 
30.198	-0.0273	0.0186	1.0190	0.0000	0.0000	0.0000	1.0492	1.5546	159.8236	36.9900	38	-101	30	0.00000000	0.00000000 
30.298	-0.0273	0.0190	1.0195	0.0000	0.0000	0.0000	1.0547	1.5546	159.8071	37.0000	36	-100	31	0.00000000	0.00000000 
30.397	-0.0273	0.0186	1.0195	0.0000	0.0000	0.0000	1.0547	1.5491	159.8181	37.0400	36	-101	30	0.00000000	0.00000000 
30.497	-0.0273	0.0186	1.0190	0.0000	0.0000	0.0000	1.0547	1.5491	159.8126	37.0400	37	-101	31	0.00000000	0.00000000 
30.597	-0.0273	0.0190	1.0186	0.0000	0.0000	0.0000	1.0547	1.5491	159.8016	37.0300	37	-100	31	0.00000000	0.00000000 
30.697	-0.0273	0.0190	1.0186	0.0000	0.0000	0.0000	1.0547	1.5491	159.7906	37.0900	37	-101	31	0.00000000	0.00000000 
30.797	-0.0273	0.0190	1.0186	0.0000	0.0000	0.0000	1.0547	1.5491	159.7797	36.9600	37	-101	30	0.00000000	0.00000000 
30.896	-0.0273	0.0186	1.0186	0.0000	0.0000	0.0000	1.0547	1.5491	159.7852	37.0200	36	-100	30	0.00000000	0.00000000 
30.996	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0547	1.5491	159.8016	37.1000	37	-102	30	0.00000000	0.00000000 
31.096	-0.0278	0.0190	1.0190	0.0000	0.0000	0.0000	1.0547	1.5491	159.8181	37.0300	35	-100	31	0.00000000	0.00000000 
31.196	-0.0273	0.0190	1.0186	0.0000	0.0000	0.0000	1.0547	1.5491	159.8126	37.0900	37	-100	31	0.00000000	0.00000000 
31.295	-0.0278	0.0190	1.0181	0.0000	0.0000	0.0000	1.0547	1.5491	159.8071	37.0700	37	-101	32	0.00000000	0.00000000 
31.395	-0.0283	0.0190	1.0186	0.0000	0.0000	0.0000	1.0547	1.5491	159.7961	37.0700	37	-101	30	0.00000000	0.00000000 
31.495	-0.0278	0.0190	1.0190	0.0000	0.0000	0.0000	1.0602	1.5546	159.8071	37.0900	36	-100	31	0.00000000	0.00000000 
31.595	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0602	1.5546	159.8071	37.0300	37	-101	30	0.00000000	0.00000000 
31.694	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0602	1.5546	159.8126	37.0700	37	-101	30	0.00000000	0.00000000 
31.794	-0.0273	0.0186	1.0186	0.0000	0.0000	0.0000	1.0602	1.5546	159.8126	37.1200	37	-103	31	0.00000000	0.00000000 
31.894	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0602	1.5546	159.8236	37.1000	36	-101	29	0.00000000	0.00000000 
31.994	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0602	1.5546	159.8456	37.1100	36	-100	30	0.00000000	0.00000000 
32.094	-0.0273	0.0190	1.0190	0.0000	0.0000	0.0000	1.0602	1.5546	159.8730	37.0800	36	-101	30	0.00000000	0.00000000 
32.193	-0.0278	0.0186	1.0186	0.0000	0.0000	0.0000	1.0602	1.5546	159.8785	37.0600	34	-101	30	0.00000000	0.00000000 
32.293	-0.0278	0.0181	1.0186	0.0000	0.0000	0.0000	1.0602	1.5546	159.9115	37.1000	36	-100	30	0.00000000	0.00000000 
32.393	-0.0273	0.0181	1.0190	0.0000	0.0000	0.0000	1.0547	1.5546	159.9500	37.1000	35	-101	29	0.00000000	0.00000000 
32.493	-0.0273	0.0186	1.0190	0.0000	0.0000	0.0000	1.0547	1.5546	159.9829	37.0800	36	-100	31	0.00000000	0.00000000 
32.593	-0.0273	0.0190	1.0186	0.0000	0.0000	0.0000	1.0547	1.5546	159.9939	37.1100	37	-102	31	0.00000000	0.00000000 
32.692	-0.0273	0.0186	1.0181	0.0000	0.0000	0.0000	1.0547	1.5491	159.9884	37.1500	36	-100	31	0.00000000	0.00000000 
32.792	-0.0278	0.0181	1.0181	0.0000	0.0000	0.0000	1.0547	1.5491	159.9939	37.1000	36	-101	30	0.00000000	0.00000000 
32.892	-0.0278	0.0186	1.0181	0.0000	0.0000	0.0000	1.0492	1.5491	160.0049	37.0700	36	-101	29	0.00000000	0.00000000 
32.992	-0.0273	0.0190	1.0176	0.0000	0.0000	0.0000	1.0492	1.5491	159.9939	37.1100	36	-101	30	0.00000000	0.00000000 
33.092	-0.0273	0.0190	1.0181	0.0000	0.0000	0.0000	1.0547	1.5491	159.9939	37.1700	37	-101	30	0.00000000	0.00000000 
33.191	-0.0269	0.0186	1.0186	0.0000	0.0000	0.0000	1.0547	1.5491	159.9719	37.1700	37	-100	30	0.00000000	0.00000000 
33.305	-0.0264	0.0186	1.0186	0.0000	0.0000	0.0000	1.0547	1.5436	159.9829	37.1400	36	-100	29	0.00000000	0.00000000 
33.391	-0.0269	0.0186	1.0186	0.0000	0.0000	0.0000	1.0492	1.5436	159.9994	37.1600	35	-100	30	0.00000000	0.00000000 
33.490	-0.0273	0.0186	1.0186	0.0000	0.0000	0.0000	1.0492	1.5381	160.0104	37.1200	36	-100	30	0.00000000	0.00000000 
33.591	-0.0273	0.0190	1.0176	0.0000	0.0000	0.0000	1.0492	1.5381	159.9939	37.1300	37	-101	29	0.00000000	0.00000000 
33.690	-0.0273	0.0190	1.0181	0.0000	0.0000	0.0000	1.0547	1.5381	159.9774	37.1600	37	-101	28	0.00000000	0.00000000 
33.790	-0.0278	0.0186	1.0190	0.0000	0.0000	0.0000	1.0492	1.5436	159.9390	37.1400	38	-101	29	0.00000000	0.00000000 
33.909	-0.0278	0.0186	1.0190	0.0000	0.0000	0.0000	1.0492	1.5436	159.9335	37.2700	36	-101	30	0.00000000	0.00000000 
33.990	-0.0278	0.0186	1.0190	0.0000	0.0000	0.0000	1.0492	1.5436	159.9225	37.1900	36	-101	29	0.00000000	0.00000000 
34.089	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0492	1.5436	159.9170	37.1500	37	-101	30	0.00000000	0.00000000 
34.189	-0.0273	0.0190	1.0190	0.0000	0.0000	0.0000	1.0492	1.5436	159.9335	37.2300	36	-101	29	0.00000000	0.00000000 
